k = 2.840220-0.003609 i
Vec Object: 4 MPI processes
  type: mpi
Process [0]
4.93324e-07 + 1.04099e-06 i
5.13027e-07 + 2.89478e-08 i
1.19508e-06 - 3.38602e-07 i
8.89789e-13 + 5.32243e-13 i
4.40039e-13 - 3.0496e-13 i
4.07187e-07 - 3.13467e-07 i
-4.21817e-07 - 3.59037e-07 i
5.7464e-07 + 7.16371e-07 i
-2.67646e-07 - 7.57142e-07 i
4.97292e-07 + 9.7542e-07 i
1.89606e-09 - 9.50203e-07 i
5.67179e-07 + 1.25303e-06 i
5.47851e-07 - 1.01317e-06 i
1.0171e-06 + 1.65648e-06 i
2.25863e-06 - 8.09095e-07 i
3.8289e-06 + 2.54345e-06 i
9.66544e-06 + 1.02333e-07 i
1.78631e-05 + 2.40111e-06 i
4.33656e-05 - 1.03834e-05 i
3.65197e-05 - 7.46242e-05 i
-0.000172974 - 0.000170211 i
-0.000238874 - 3.78625e-05 i
-0.000239833 + 0.000150931 i
-2.74016e-05 + 0.000231603 i
-6.38439e-08 + 8.59859e-08 i
2.68753e-05 - 0.000231103 i
0.000238566 - 0.000151207 i
0.000237739 + 3.70768e-05 i
0.000172087 + 0.000168328 i
-3.60523e-05 + 7.38135e-05 i
-4.31479e-05 + 1.00976e-05 i
-1.79032e-05 - 2.4922e-06 i
-9.76704e-06 - 2.87048e-07 i
-3.66198e-06 - 2.47633e-06 i
-2.3649e-06 + 7.88601e-07 i
-9.2774e-07 - 1.6243e-06 i
-5.36241e-07 + 1.01457e-06 i
-4.44575e-07 - 1.19811e-06 i
-4.09777e-07 + 9.12533e-07 i
-4.98876e-07 - 9.74644e-07 i
-6.88764e-08 + 5.85709e-07 i
-4.0345e-07 - 1.22628e-06 i
-6.48254e-07 + 5.16366e-09 i
-1.34534e-06 + 2.64721e-07 i
8.24638e-13 - 9.77118e-14 i
7.82202e-13 - 7.67227e-13 i
-5.06351e-07 + 2.64773e-07 i
3.37027e-07 + 5.0728e-07 i
-4.85193e-07 - 9.05534e-07 i
7.40531e-08 + 9.39907e-07 i
-3.70035e-07 - 1.19712e-06 i
-2.96382e-07 + 1.16897e-06 i
-4.62631e-07 - 1.54845e-06 i
-1.04372e-06 + 1.27894e-06 i
-1.10236e-06 - 2.08051e-06 i
-3.38657e-06 + 1.12261e-06 i
-4.94595e-06 - 3.16779e-06 i
-1.32453e-05 + 3.80738e-07 i
-2.33057e-05 - 2.44312e-06 i
-5.55283e-05 + 1.50047e-05 i
-4.57823e-05 + 9.30329e-05 i
0.000205972 + 0.00021045 i
0.000296343 + 5.11261e-05 i
0.000307352 - 0.000183724 i
5.16351e-05 - 0.000294997 i
8.35032e-08 - 9.20397e-08 i
-5.09475e-05 + 0.000294377 i
-0.00030568 + 0.000184148 i
-0.000294928 - 5.00489e-05 i
-0.000204879 - 0.000208061 i
4.51778e-05 - 9.19669e-05 i
5.52484e-05 - 1.46249e-05 i
2.33682e-05 + 2.57931e-06 i
1.33727e-05 - 1.45081e-07 i
4.74765e-06 + 3.09756e-06 i
3.51767e-06 - 1.11033e-06 i
9.89789e-07 + 2.0536e-06 i
1.04204e-06 - 1.28994e-06 i
3.25519e-07 + 1.48338e-06 i
7.59549e-07 - 1.14698e-06 i
3.40513e-07 + 1.19187e-06 i
2.82724e-07 - 7.32328e-07 i
2.7552e-07 + 1.5304e-06 i
8.06214e-07 - 3.6663e-08 i
1.55152e-06 - 1.56501e-07 i
5.01579e-13 + 3.21107e-13 i
5.66787e-13 - 1.77327e-13 i
6.68737e-07 - 1.93331e-07 i
-2.13024e-07 - 7.4676e-07 i
3.46149e-07 + 1.2062e-06 i
2.24945e-07 - 1.23838e-06 i
1.61617e-07 + 1.54483e-06 i
7.59516e-07 - 1.5306e-06 i
2.68217e-07 + 2.00164e-06 i
1.82848e-06 - 1.73456e-06 i
1.16591e-06 + 2.70549e-06 i
5.14153e-06 - 1.7417e-06 i
6.50143e-06 + 3.99358e-06 i
1.87105e-05 - 1.54894e-06 i
3.12782e-05 + 2.05391e-06 i
7.39625e-05 - 2.3093e-05 i
6.01381e-05 - 0.000121358 i
-0.000252836 - 0.00027332 i
-0.00038488 - 7.48185e-05 i
-0.000420162 + 0.000231558 i
-0.000101449 + 0.000400969 i
-1.02792e-07 + 8.08355e-08 i
0.000100503 - 0.000400161 i
0.000417834 - 0.000232237 i
0.00038305 + 7.32631e-05 i
0.000251456 + 0.000270165 i
-5.93133e-05 + 0.000119893 i
-7.35919e-05 + 2.25756e-05 i
-3.13824e-05 - 2.26574e-06 i
-1.88689e-05 + 1.23565e-06 i
-6.26645e-06 - 3.92905e-06 i
-5.30525e-06 + 1.73392e-06 i
-1.01069e-06 - 2.67757e-06 i
-1.8393e-06 + 1.76637e-06 i
-1.19696e-07 - 1.92753e-06 i
-1.29837e-06 + 1.50132e-06 i
-9.24533e-08 - 1.56041e-06 i
-6.10981e-07 + 9.68341e-07 i
-7.53193e-08 - 1.98615e-06 i
-1.03595e-06 + 1.09469e-07 i
-1.87934e-06 - 7.43656e-09 i
9.44942e-13 - 5.09344e-13 i
1.14616e-12 + 5.07187e-13 i
-9.61275e-07 + 7.16464e-08 i
2.20628e-08 + 1.1739e-06 i
-9.80106e-08 - 1.73332e-06 i
-7.25466e-07 + 1.77895e-06 i
